Income,Order,Familiarity,Percent
High,1,Low,0.2983751846381093
Moderate,2,Low,0.41063515509601184
Low,3,Low,0.29098966026587886
High,1,High,0.22549019607843138
Moderate,2,High,0.5147058823529411
Low,3,High,0.25980392156862747
