"","year","month","date_concat","property_id","utility_acct_number","user_id","ParticipantID","payment_type","kwh_allocated","solar_farm_name","HH Income","leave_reason","default_dummy","churn_dummy"
"22424",2020,6,"2020_6",1040,"21003686652",1053,348,"card",3119.92,"Frog Hollow (CHGE)","not in list","0",0,0
"22425",2020,6,"2020_6",1040,"21003686652",1053,348,"card",3119.92,"Frog Hollow (CHGE)","not in list","0",0,0
"22426",2020,6,"2020_6",532,"21000897773",485,76,"card",5901.53,"Frog Hollow (CHGE)","not in list","0",0,0
"22427",2020,6,"2020_6",532,"21000897773",485,76,"card",5901.53,"Frog Hollow (CHGE)","not in list","0",0,0
"22428",2020,6,"2020_6",1144,"21000669875",1184,429,"ach",6051.89,"Frog Hollow (CHGE)","not in list","0",0,0
"22429",2020,6,"2020_6",799,"21001801915",768,188,"ach",7705.82,"Frog Hollow (CHGE)","not in list","0",0,0
"22430",2020,6,"2020_6",1060,"21001590369",1076,361,"card",4585.91,"Frog Hollow (CHGE)","not in list","0",0,0
"22431",2020,6,"2020_6",1060,"21001590369",1076,361,"card",4585.91,"Frog Hollow (CHGE)","not in list","0",0,0
"22432",2020,6,"2020_6",766,"21000214763",725,157,"card",10637.8,"Frog Hollow (CHGE)","not in list","0",0,0
"22433",2020,6,"2020_6",1241,"21003005374",1291,487,"card",4773.85,"Frog Hollow (CHGE)","not in list","0",0,0
"22434",2020,6,"2020_6",1241,"21003005374",1291,487,"card",4773.85,"Frog Hollow (CHGE)","not in list","0",0,0
"22435",2020,6,"2020_6",1241,"21003005374",1291,487,"card",4773.85,"Frog Hollow (CHGE)","not in list","0",0,0
"22436",2020,6,"2020_6",1082,"21000573978",1107,376,"ach",7668.24,"Frog Hollow (CHGE)","not in list","0",0,0
"22437",2020,6,"2020_6",476,"21003016801",458,62,"card",8720.74,"Frog Hollow (CHGE)","not in list","0",0,0
"22438",2020,6,"2020_6",476,"21003016801",458,62,"card",8720.74,"Frog Hollow (CHGE)","not in list","0",0,0
"22439",2020,6,"2020_6",1363,"21001893896",1508,543,"card",9698.06,"Frog Hollow (CHGE)","not in list","0",0,0
"22440",2020,6,"2020_6",1151,"3283190002",1192,434,"card",3007.15,"Frog Hollow (CHGE)","$0-$49,999","No Longer Interested",0,1
"22441",2020,6,"2020_6",531,"21000843009",484,75,"card",2856.79,"Frog Hollow (CHGE)","not in list","0",0,0
"22442",2020,6,"2020_6",531,"21000843009",484,75,"card",2856.79,"Frog Hollow (CHGE)","not in list","0",0,0
"22443",2020,6,"2020_6",780,"21003820871",739,170,"card",8833.51,"Frog Hollow (CHGE)","not in list","0",0,0
