"","year","month","date_concat","property_id","utility_acct_number","user_id","ParticipantID","payment_type","kwh_allocated","solar_farm_name","HH Income","leave_reason","default_dummy","churn_dummy"
"22675",2021,12,"2021_12",729,"898598028",688,134,"card",3293.16,"Howell (O&R)",">=$50,000","0",0,0
"22676",2021,12,"2021_12",729,"898598028",688,134,"card",3293.16,"Howell (O&R)",">=$50,000","0",0,0
"22677",2021,12,"2021_12",729,"898598028",688,134,"card",3293.16,"Howell (O&R)",">=$50,000","0",0,0
"22678",2021,12,"2021_12",729,"898598028",688,134,"card",3293.16,"Howell (O&R)",">=$50,000","0",0,0
"22679",2021,12,"2021_12",729,"898598028",688,134,"ach",3293.16,"Howell (O&R)",">=$50,000","0",0,0
"22680",2021,12,"2021_12",31,"689005016",31,3,"card",20758,"Howell (O&R)",">=$50,000","Got Rooftop",0,1
"22681",2021,12,"2021_12",31,"689005016",31,3,"card",20758,"Howell (O&R)",">=$50,000","Got Rooftop",0,1
"22682",2020,5,"2020_5",879,"21003699291",834,226,"ach",21952.2,"Frog Hollow (CHGE)","not in list","0",0,0
"22683",2021,12,"2021_12",829,"986785004",809,208,"card",9657.47,"Howell (O&R)",">=$50,000","0",0,0
"22684",2021,12,"2021_12",789,"36544037",748,178,"card",4810.23,"Howell (O&R)",">=$50,000","0",0,0
"22685",2021,12,"2021_12",789,"36544037",748,178,"card",4810.23,"Howell (O&R)",">=$50,000","0",0,0
"22686",2021,12,"2021_12",789,"36544037",748,178,"card",4810.23,"Howell (O&R)",">=$50,000","0",0,0
"22687",2020,6,"2020_6",856,"21002783708",838,229,"card",8232.08,"Frog Hollow (CHGE)","not in list","0",0,0
"22688",2021,12,"2021_12",735,"214102011",696,138,"ach",4329.21,"Howell (O&R)","$0-$49,999","0",0,0
"22689",2021,12,"2021_12",735,"214102011",696,138,"ach",4329.21,"Howell (O&R)","$0-$49,999","0",0,0
"22690",2020,6,"2020_6",753,"21000632626",710,147,"card",16201,"Frog Hollow (CHGE)","not in list","0",0,0
"22691",2020,6,"2020_6",753,"21000632626",710,147,"card",16201,"Frog Hollow (CHGE)","not in list","0",0,0
"22692",2021,12,"2021_12",1049,"583586001",1061,355,"card",4810.23,"Howell (O&R)",">=$50,000","Moving out of service territory",0,1
